*************************************************************************************************
                                       FINAL PAYROLL REPORT                                      
RUN DATE: 4/22/2026                                                                              
*************************************************************************************************
Department     Regular Hours       OT Hours         Gross Pay        Deductions           Net Pay
-------------------------------------------------------------------------------------------------
         0      2,604,269.35      12,527.83    83,668,532.33    18,328,655.06    65,339,877.27
         1      2,599,953.29      12,241.35    83,563,792.76    18,309,900.15    65,253,892.61
         2      2,610,486.51      12,246.56    83,865,313.75    18,375,219.58    65,490,094.17
         3      2,603,509.98      12,356.21    83,660,388.49    18,329,385.11    65,331,003.38
         4      2,595,229.29      12,436.74    83,387,225.49    18,271,179.76    65,116,045.73
         5      2,606,981.11      12,503.62    83,750,643.94    18,347,974.03    65,402,669.91
         6      2,605,515.97      12,617.06    83,779,506.06    18,357,514.35    65,421,991.71
         7      2,599,535.66      12,387.47    83,517,580.68    18,292,920.89    65,224,659.79
         8      2,617,910.48      12,457.46    84,140,229.59    18,432,034.40    65,708,195.19
         9      2,612,672.47      12,565.47    83,949,578.45    18,391,206.14    65,558,372.31
        10      2,599,243.48      12,327.27    83,467,014.22    18,280,553.76    65,186,460.46
        11      2,610,640.21      12,428.48    83,844,827.90    18,367,391.20    65,477,436.70
        12      2,607,518.38      12,496.61    83,780,161.80    18,353,506.86    65,426,654.94
        13      2,610,724.01      12,305.21    83,926,805.02    18,383,806.14    65,542,998.88
        14      2,619,614.10      12,552.24    84,257,170.01    18,457,797.94    65,799,372.07
        15      2,595,526.63      12,525.92    83,504,115.89    18,293,545.71    65,210,570.18
        16      2,610,989.11      12,507.34    83,897,260.94    18,379,040.07    65,518,220.87
        17      2,610,763.79      12,809.99    83,899,472.52    18,381,074.84    65,518,397.68
        18      2,600,531.85      12,459.70    83,574,896.77    18,308,417.42    65,266,479.35
        19      2,603,014.44      12,643.82    83,639,885.91    18,323,140.80    65,316,745.11
        20      2,598,640.33      11,959.01    83,519,619.75    18,295,197.03    65,224,422.72
        21      2,602,664.69      12,448.87    83,626,572.33    18,318,859.26    65,307,713.07
        22      2,609,840.40      12,524.48    83,894,888.79    18,377,747.58    65,517,141.21
        23      2,593,507.22      12,658.65    83,315,997.62    18,255,447.71    65,060,549.91
        24      2,604,466.41      12,601.78    83,838,470.73    18,371,531.39    65,466,939.34
        25      2,612,151.43      12,460.01    83,909,828.28    18,382,850.84    65,526,977.44
        26      2,604,268.40      12,461.96    83,825,071.32    18,365,836.02    65,459,235.30
        27      2,629,497.84      12,506.34    84,524,692.90    18,516,236.11    66,008,456.79
        28      2,619,316.51      12,602.87    84,247,917.79    18,457,740.70    65,790,177.09
        29      2,596,228.35      12,560.19    83,359,794.49    18,260,639.16    65,099,155.33
        30      2,613,176.32      12,559.33    83,964,812.38    18,393,421.53    65,571,390.85
        31      2,626,546.86      12,875.28    84,406,962.92    18,492,458.67    65,914,504.25
        32      2,599,318.54      12,440.93    83,573,454.22    18,307,816.28    65,265,637.94
        33      2,603,463.55      12,359.43    83,735,831.44    18,344,327.04    65,391,504.40
        34      2,606,237.53      12,351.66    83,749,003.39    18,344,814.21    65,404,189.18
        35      2,602,998.68      12,681.66    83,664,950.41    18,323,471.16    65,341,479.25
