id,name,description,type,prereq,status,rewards,quest_giver,difficulty
ha2,A Change is Gonna Come,"""They won't listen,"" the Administrator sighs, showing conflicting reports. ""The old systems are failing. I've compiled 'clean' data proving we need structural reforms, but the traditionalists are blocking everything. Help me present the evidence at the town meeting. Change is inevitable - let's make sure it doesn't come as a catastrophe."" ",Relationship,msq5,Available,,Overworked Administrator,normal
msq9,A hard rain's a-gonna fall,The original site of the artifact may contain a critical clue,Main,msq8,Available,,Qassidar,hard
dng3,All Along the Watchtower,"The Iron Warrens are a sprawling Terran bunker-city abandoned after a reactor meltdown scare. Collapsed reactor halls echo with the hum of dying machinery, automated defense turrets run on corrupted IFF protocols, and a rogue command AI still believes the war never ended. Deep in the mech-bays, half-functional exosuits stand ready for pilots who will never return. Navigate theththeir industrial labyrinth before its defenses reboot completely.",Dungeon,msq5,Available,Salvage:25|Credits:2000|Gauntlet of the Forge-Titan:1,Pacifist Fabricator,hard
msq1,Back home again,Get yourself familiarized with the town,Main,,Completed,Fishing Rod:1|Geode:4|Salvage:8,Overworked Administrator,trivial
dng5,Bad Moon Rising,"The Bioforge was a secret Architect/Terran joint laboratory wtheire alien tissue was studied - until it escaped. Now cloning vats overflow with half-formed horrors, Architect holograms replay disturbing experiments on loop, and alien biomass has fused with the machinery itself. At the facility's heart, Specimen Zero awaits, the first successful fusion of alien and machine. Delve into ttheir cosmic horror lab to prevent its creations from reaching the surface.",Dungeon,msq7,Available,Biomass:25|Credits:2200|Chrysalis Core:1,Greenhouse Medic,hard
msq10,Bad Moon Rising,"With the signal disrupted, the factions grow desperate",Main,msq9,Available,,Overworked Administrator,hard
hnt1,Big Iron,"Reports from the eastern badlands speak of an 'Ironhide Devourer' - mutated megafauna with metallic chitin plating that shrugs off ballistic fire. Ttheir walking tank has been gutting mining convoys, leaving only twisted metal and psychic residue in its wake. Track it to its canyon lair for a classic frontier showdown. Watch for its spine-vent burst attack, and aim for the glowing weak points between its armored plates.",Hunt,msq4,Available,Maw Chitin:5|Rare Minerals:3|Salvageable Servos:2|Hide of the Iron Colossus:1,Strider-Ox Wrangler,hard
msq2,Born Under a Bad Sign,"Local trouble with a fence, a woman and an Admiral",Main,msq1,Active,Credits:200,Overworked Administrator,trivial
gm2,Bridge over Trouble Water,"""The river's been contaminated by some nasty runoff,"" the Medic says grimly. ""I've designed a filtration bridge using medicinal theirbs and sterile lab components, but need help assembling it upstream. This could prevent the next plague. And please... no theiroics."" ",Relationship,msq5,Available,,Medic,normal
msq3,Country Roads,The Annual Town Fair Begins,Main,msq2,Available,Participation Trophy,Overworked Administrator,trivial
