id,name,description,price,sell_price,weight,category
1,Longsword,"Damage d8, Toughness 10",150,75,3.0,weapon
2,Shortsword,"Damage d6, Toughness 10, AP 1, Raise +d8",75,37,2.0,weapon
3,Dagger,"Damage d4, Toughness 10, Thrown 3/6/12, +2 to ready",100,50,0.5,weapon
4,Greatsword,"Damage d10, Toughness 12, AP 1, 2 hands",250,125,6.0,weapon
5,Bastard sword,"Damage d8/d10, Toughness 10, Versatile (1 or 2 hands)",200,100,4.0,weapon
6,Rapier,"Damage d4, Toughness 10, Parry +1, AP 1",150,75,2.0,weapon
7,Main Gauche,"Damage d4, Toughness 10, Parry +1",100,50,1.0,weapon
8,Katana,"Damage d6+2, Toughness 10, Sharp",1000,500,3.0,weapon
9,Wakizashi,"Damage d6+1, Toughness 10, AP 1",500,250,2.0,weapon
10,Tanto,"Damage d6, Toughness 10, Easy to hide, +2 to ready",150,75,0.5,weapon
11,Cavalry sabre,"Damage d6, AP 2 when charging, Raise +d8",150,75,3.0,weapon
12,Handaxe,"Damage d6, Toughness 10",100,50,2.0,weapon
13,Battleaxe,"Damage d8/d10, Versatile",120,60,4.0,weapon
14,Throwing axe,"Damage d6, Thrown 3/6/12",50,25,1.5,weapon
15,Greataxe,"Damage d12, Toughness 10, AP 1, 2 hands",250,125,7.0,weapon
16,Cudgel,"Damage d6, Toughness 10",10,5,2.0,weapon
17,Mace,"Damage d8, AP 2 vs rigid armour",100,50,4.0,weapon
18,Warhammer,"Damage d6, AP 2 vs rigid armour, Raise +d8",120,60,3.0,weapon
19,Maul,"Damage d12, AP 2 vs rigid armour, 2 hands",150,75,8.0,weapon
20,Staff,"Damage d4, Parry +1, Reach 1, 2 hands",10,5,3.0,weapon
21,Ironshod staff,"Damage d4, Parry +1, Reach 1, AP 2 vs rigid armour",25,12,4.0,weapon
22,Sap,"Damage d4, AP -1, Nonlethal, Raise +d10",10,5,0.5,weapon
23,Flail,"Damage d6, +1 Fighting, Ignore Shield Bonus",100,50,5.0,weapon
24,Morning star,"Damage d10, Parry -1, AP 2 vs rigid armour",120,60,6.0,weapon
25,Whip,"Damage d4, Parry -1, Reach 1, Entangling",50,25,1.0,weapon
26,Spear,"Damage d6, Parry +1, Reach 1, Thrown 3/6/12",50,25,3.0,weapon
27,Trident,"Damage d8, Reach 1",75,37,4.0,weapon
28,Javelin,"Damage d6, Reach 1, Thrown 4/8/16",20,10,2.0,weapon
29,Pike,"Damage d8, Reach 2, 2 hands",80,40,8.0,weapon
30,Lance,"Damage d8, AP 2 when charging, Mounted only, Reach 2",150,75,10.0,weapon
31,Halberd,"Damage d8, AP 1, Reach 1, 2 hands",150,75,8.0,weapon
32,Tiger claws,"Damage d6, Parry +1, Exotic",100,50,1.0,weapon
33,Kyoketsu-shoge,"Damage d6, Reach 2, +1 Fighting, Exotic",150,75,2.0,weapon
34,Buckler,"Parry +1",25,12,2.0,armor
35,Target Shield,"Parry +1, AP -1, Light Cover",50,25,4.0,armor
36,Kite Shield,"Parry +1, AP -1, Medium Cover",100,50,8.0,armor
37,Tower Shield,"Parry +1, AP -1, Heavy Cover",200,100,15.0,armor
38,Chainsaw,"Damage d12, AP 2, Dangerous",100,50,10.0,weapon
