id,name,description,price,sell_price,weight,category
1,Ballistic Vest,"Protection +4, TL 8. Flexible and semi-discreet flak jacket.",500,250,1,armor
2,Ceramic Carapace,"Protection +10, TL 12. +6 Prot vs Lasers/Fire. Contoured alloy plates.",12000,6000,4,armor
3,Cloth (TL 7),"Protection +5, TL 7. Heavy-duty ballistic coverall.",250,125,10,armor
4,Cloth (TL 10),"Protection +8, TL 10. Heavy-duty ballistic coverall.",500,250,5,armor
5,Cloth (TL 12),"Protection +4, TL 12. Light enough to be worn under other armor (stacks).",750,375,2,armor
6,Diplo Vest,"Protection +3, TL 10. Completely concealable under a shirt.",250,125,0.1,armor
7,Flak Jacket (TL 7),"Protection +3, TL 7. Heavy sleeveless vest.",100,50,8,armor
8,Flak Jacket (TL 8),"Protection +5, TL 8. Heavy sleeveless vest.",300,150,6,armor
9,Flak Shell,"Protection +8, TL 9. DM-1 to physical checks. Heavy breastplate.",1000,500,8,armor
10,Jack,"Protection +1, TL 1. Tough leather or synthetic hide.",50,25,1,armor
11,Mesh,"Protection +2, TL 6. Leather reinforced with metal mesh.",150,75,2,armor
12,Poly Carapace,"Protection +10, TL 10. DM-1 to physical checks. Includes helmet.",10000,5000,2,armor
13,Poly Carapace (Lightweight),"Protection +12, TL 11. Less bulky, does not restrict movement.",15000,7500,2,armor
14,Poly Carapace (Advanced),"Protection +16, TL 13. Advanced plates, does not restrict movement.",35000,17500,2,armor
15,Post-Apocalyptic Armour,"Protection +4, TL 6. Scavenged plates and rubber.",150,75,3,armor
16,Protec Suit,"Protection +4, TL 9. Looks like a business suit. Socially acceptable.",500,250,1,armor
17,Tactical Riot Armour,"Protection +4, TL 7. Grants Boon to Intimidate attempts.",600,300,6,armor
18,Breastplate,"Protection +3, TL 1. Halved vs higher TL guns.",200,100,5,armor
19,Full Plate,"Protection +6, TL 2. DM-2 to physical checks. Halved vs higher TL guns.",1000,500,20,armor
20,Half-Plate,"Protection +5, TL 2. Halved vs higher TL guns.",800,400,12,armor
21,Mail Hauberk,"Protection +4, TL 2. Halved vs higher TL guns.",500,250,8,armor
22,Radio Transceiver (TL 5 Manpack),Range 5 km. Backpack unit.,225,112,20,electronics
23,Radio Transceiver (TL 5 Vehicle),Range 50 km. Heavy vehicle mount.,750,375,70,electronics
24,Radio Transceiver (TL 5 Base),Range 500 km. Orbital range. Very heavy.,1500,750,150,electronics
